ID,CITY,STATE,INSTALL DATE
TPA,TAMPA,FL,1/27/2009
VRB,VERO BEACH,FL,3/7/2007
ABY,ALBANY,GA,5/31/2007
AGS,AUGUSTA,GA,5/12/2009
AHN,ATHENS,GA,5/10/2007
AMG,ALMA,GA,1/6/2009
ATL,ATLANTA,GA,3/27/2007
CSG,COLUMBUS,GA,5/24/2007
DNL,AUGUSTA,GA,5/4/2009
FFC,PEACHTREE CITY,GA,2/3/2006
FTY,ATLANTA,GA,3/20/2007
GVL,GAINESVILLE,GA,4/12/2007
MCN,MACON,GA,7/24/2007
PDK,ATLANTA,GA,3/21/2007
RMG,ROME,GA,5/17/2007
SAV,SAVANNAH,GA,2/12/2009
SSI,BRUNSWICK,GA,3/7/2007
VLD,VALDOSTA,GA,6/7/2007
VPC,CARTERSVILLE,GA,3/22/2007
HNL,HONOLULU,HI,5/12/2009
ITO,HILO,HI,6/26/2003
KOA,KAILUA-KONA,HI,5/8/2009
LIH,LIHUE,HI,6/11/2009
MKK,KAUNAKAKAI,HI,6/15/2009
OGG,KAHULUI,HI,6/29/2009
ALO,WATERLOO,IA,6/25/2007
AMW,AMES,IA,10/27/2005
BRL,BURLINGTON,IA,4/17/2007
CID,CEDAR RAPIDS,IA,4/18/2007
DBQ,DUBUQUE,IA,4/20/2007
DSM,DES MOINES,IA,4/18/2007
DVN,DAVENPORT,IA,10/20/2005
EST,ESTHERVILLE,IA,5/2/2007
IOW,IOWA CITY,IA,10/20/2005
LWD,LAMONI,IA,5/29/2007
MCW,MASON CITY,IA,5/17/2007
MIW,MARSHALLTOWN,IA,10/20/2005
OTM,OTTUMWA,IA,6/13/2007
SPW,SPENCER,IA,11/7/2005
SUX,SIOUX CITY,IA,4/30/2009
BOI,BOISE,ID,1/9/2007
BYI,BURLEY,ID,11/7/2005
IDA,IDAHO FALLS,ID,1/30/2007
JER,JEROME,ID,5/4/2006
LLJ,CHALLIS,ID,1/2/2003
LWS,LEWISTON,ID,4/11/2007
MLP,MULLAN PASS,ID,7/3/2006
MYL,MCCALL,ID,6/7/2006
P69,LOWELL,ID,5/29/2007
PIH,POCATELLO,ID,3/6/2007
RXE,REXBURG,ID,10/20/2005
SNT,STANLEY,ID,10/11/2006
TWF,TWIN FALLS,ID,7/18/2007
ARR,CHICAGO/AURORA,IL,12/6/2002
CMI,CHAMPAIGN/URBANA,IL,5/10/2007
CPS,CAHOKIA/ST LOUIS,IL,5/11/2009
DEC,DECATUR,IL,3/20/2007
DPA,CHICAGO/WEST CHICAGO,IL,6/29/2007
LWV,LAWRENCEVILLE,IL,11/7/2005
MDH,CARBONDALE/MURPHYSBORO,IL,5/24/2007
MDW,CHICAGO,IL,6/13/2007
MLI,MOLINE,IL,4/16/2007
MTO,MATTOON/CHARLESTON,IL,10/20/2005
ORD,CHICAGO,IL,6/27/2007
PIA,PEORIA,IL,9/18/2006
PWK,CHICAGO/WHEELING,IL,6/26/2007
RFD,ROCKFORD,IL,5/22/2007
SPI,SPRINGFIELD,IL,9/25/2006
UGN,WAUKEGAN,IL,5/24/2007
UIN,QUINCY,IL,9/20/2006
BMG,BLOOMINGTON,IN,5/25/2007
EVV,EVANSVILLE,IN,9/26/2006
EYE,INDIANAPOLIS,IN,10/4/2005
FWA,FORT WAYNE,IN,9/21/2006
GEZ,SHELBYVILLE,IN,10/4/2005
GSH,GOSHEN,IN,12/16/2005
HUF,TERRE HAUTE,IN,1/16/2003
IND,INDIANAPOLIS,IN,5/22/2007
LAF,LAFAYETTE,IN,9/14/2006
MIE,MUNCIE,IN,5/29/2007
SBN,SOUTH BEND,IN,9/27/2006
VPZ,VALPARAISO,IN,11/7/2005
AAO,WICHITA,KS,10/20/2005
CFV,COFFEYVILLE,KS,8/30/2006
CNK,CONCORDIA,KS,1/10/2007
CNU,CHANUTE,KS,6/7/2006
DDC,DODGE CITY,KS,9/13/2006
EMP,EMPORIA,KS,4/2/2007
FOE,TOPEKA,KS,9/7/2006
GCK,GARDEN CITY,KS,1/24/2007
GLD,GOODLAND,KS,10/27/2005
HLC,HILL CITY,KS,2/6/2007
HUT,HUTCHINSON,KS,1/29/2007
ICT,WICHITA,KS,10/6/2005
IXD,OLATHE,KS,1/26/2007
LWC,LAWRENCE,KS,10/7/2005
